date,day,content_type,topic,pillar,time_posted,status,hashtags
2026-01-01,Thursday,Carousel,How to Do a Perfect Push-Up,健身知识,12:30,已发布,#fitnesstips #workouttips #fitnesseducation #homeworkout #fitnessjourney #nutrition #workoutmotivation
2026-01-01,Thursday,Story,Daily stories (poll/Q&A/check-in),互动日常,07:00/12:30/20:00,已发布,
2026-01-02,Friday,Reel,15 Min Morning Fat Burn,训练教学,07:00,已发布,#homeworkout #fitness #workout #15minuteworkout #nogymneeded #bodyweightworkout #fitnessmotivation #homefitness
2026-01-02,Friday,Story,Daily stories (poll/Q&A/check-in),互动日常,07:00/12:30/20:00,已发布,
2026-01-03,Saturday,Story,Daily stories (poll/Q&A/check-in),互动日常,07:00/12:30/20:00,已发布,
2026-01-04,Sunday,Reel,No-Equipment Ab Workout,训练教学,10:00,已发布,#homeworkout #fitness #workout #15minuteworkout #nogymneeded #bodyweightworkout #fitnessmotivation #homefitness
2026-01-04,Sunday,Story,Daily stories (poll/Q&A/check-in),互动日常,07:00/12:30/20:00,已发布,
2026-01-05,Monday,Reel,Office Desk Stretch Routine,训练教学,07:00,已发布,#homeworkout #fitness #workout #15minuteworkout #nogymneeded #bodyweightworkout #fitnessmotivation #homefitness
2026-01-05,Monday,Story,Daily stories (poll/Q&A/check-in),互动日常,07:00/12:30/20:00,已发布,
2026-01-06,Tuesday,Carousel,10 Home Workout Mistakes,健身知识,12:30,已发布,#fitnesstips #workouttips #fitnesseducation #homeworkout #fitnessjourney #nutrition #workoutmotivation
2026-01-06,Tuesday,Story,Daily stories (poll/Q&A/check-in),互动日常,07:00/12:30/20:00,已发布,
2026-01-07,Wednesday,Reel,5 Min Bedtime Core,训练教学,07:00,已发布,#homeworkout #fitness #workout #15minuteworkout #nogymneeded #bodyweightworkout #fitnessmotivation #homefitness
2026-01-07,Wednesday,Story,Daily stories (poll/Q&A/check-in),互动日常,07:00/12:30/20:00,已发布,
2026-01-08,Thursday,Carousel,Protein Intake Guide,健身知识,12:30,已发布,#fitnesstips #workouttips #fitnesseducation #homeworkout #fitnessjourney #nutrition #workoutmotivation
2026-01-08,Thursday,Story,Daily stories (poll/Q&A/check-in),互动日常,07:00/12:30/20:00,已发布,
2026-01-09,Friday,Reel,Full Body HIIT at Home,训练教学,07:00,已发布,#homeworkout #fitness #workout #15minuteworkout #nogymneeded #bodyweightworkout #fitnessmotivation #homefitness
2026-01-09,Friday,Story,Daily stories (poll/Q&A/check-in),互动日常,07:00/12:30/20:00,已发布,
2026-01-10,Saturday,Story,Daily stories (poll/Q&A/check-in),互动日常,07:00/12:30/20:00,已发布,
2026-01-11,Sunday,Reel,Push-Up Progression Guide,训练教学,10:00,已发布,#homeworkout #fitness #workout #15minuteworkout #nogymneeded #bodyweightworkout #fitnessmotivation #homefitness
2026-01-11,Sunday,Story,Daily stories (poll/Q&A/check-in),互动日常,07:00/12:30/20:00,已发布,
2026-01-12,Monday,Reel,Squat Form Correction,训练教学,07:00,已发布,#homeworkout #fitness #workout #15minuteworkout #nogymneeded #bodyweightworkout #fitnessmotivation #homefitness
2026-01-12,Monday,Story,Daily stories (poll/Q&A/check-in),互动日常,07:00/12:30/20:00,已发布,
2026-01-13,Tuesday,Carousel,Beginner Workout Plan Week 1,健身知识,12:30,已发布,#fitnesstips #workouttips #fitnesseducation #homeworkout #fitnessjourney #nutrition #workoutmotivation
2026-01-13,Tuesday,Story,Daily stories (poll/Q&A/check-in),互动日常,07:00/12:30/20:00,已发布,
2026-01-14,Wednesday,Reel,10 Min Leg Day No Equipment,训练教学,07:00,已发布,#homeworkout #fitness #workout #15minuteworkout #nogymneeded #bodyweightworkout #fitnessmotivation #homefitness
2026-01-14,Wednesday,Story,Daily stories (poll/Q&A/check-in),互动日常,07:00/12:30/20:00,已发布,
