date,day_of_week,new_followers,unfollowed,net_followers,total_followers,posts_count,stories_count,story_views,daily_likes,daily_comments,daily_saves,daily_shares,profile_visits,website_clicks
2026-01-01,Thursday,21,2,19,19,1,2,3,1,0,0,0,3,0
2026-01-02,Friday,17,1,16,35,1,3,8,1,0,0,0,3,0
2026-01-03,Saturday,30,3,27,62,0,2,16,2,0,0,0,9,1
2026-01-04,Sunday,17,2,15,77,1,2,19,2,0,0,0,8,1
2026-01-05,Monday,9,1,8,85,1,4,22,4,0,0,0,9,1
2026-01-06,Tuesday,22,2,20,105,1,3,27,3,0,0,0,16,1
2026-01-07,Wednesday,29,1,28,133,1,2,42,6,0,0,0,14,4
2026-01-08,Thursday,28,3,25,158,1,2,46,8,0,1,0,20,3
2026-01-09,Friday,22,2,20,178,1,3,41,9,0,0,0,17,6
2026-01-10,Saturday,20,2,18,196,0,4,36,11,1,1,1,21,2
2026-01-11,Sunday,19,2,17,213,2,3,49,7,0,0,0,23,5
2026-01-12,Monday,11,0,11,224,1,4,44,10,1,1,0,31,5
2026-01-13,Tuesday,22,2,20,244,1,3,69,12,1,2,0,34,7
2026-01-14,Wednesday,26,1,25,269,1,3,50,8,0,1,0,35,4
2026-01-15,Thursday,16,1,15,284,1,2,61,9,1,1,0,41,9
2026-01-16,Friday,29,2,27,311,1,2,102,17,2,2,1,47,11
2026-01-17,Saturday,28,1,27,338,0,4,91,10,0,1,0,32,8
2026-01-18,Sunday,29,3,26,364,1,3,71,14,1,2,1,53,9
2026-01-19,Monday,25,1,24,388,1,3,127,18,2,2,1,50,6
2026-01-20,Tuesday,21,1,20,408,2,3,75,23,3,4,1,33,15
2026-01-21,Wednesday,31,4,27,435,1,3,139,17,1,2,1,65,11
2026-01-22,Thursday,27,3,24,459,1,2,116,25,3,4,2,53,8
2026-01-23,Friday,33,4,29,488,1,3,151,24,3,4,2,55,10
2026-01-24,Saturday,33,3,30,518,1,3,133,19,2,1,0,84,10
2026-01-25,Sunday,30,2,28,546,1,2,87,25,2,4,2,96,13
2026-01-26,Monday,21,2,19,565,1,3,93,17,2,3,1,68,8
2026-01-27,Tuesday,27,3,24,589,1,3,200,30,3,4,2,61,12
2026-01-28,Wednesday,26,1,25,614,1,2,97,34,4,5,1,79,14
2026-01-29,Thursday,29,3,26,640,1,2,143,31,3,5,2,61,7
2026-01-30,Friday,22,1,21,661,1,4,175,27,3,3,2,115,14
2026-01-31,Saturday,50,4,46,707,0,2,221,27,2,4,2,118,22
2026-02-01,Sunday,34,2,32,739,1,3,230,44,4,6,4,84,28
2026-02-02,Monday,42,5,37,776,1,4,194,42,4,7,3,62,28
2026-02-03,Tuesday,67,5,62,838,1,4,221,41,4,5,2,123,27
2026-02-04,Wednesday,59,5,54,892,2,3,212,50,5,5,3,139,25
2026-02-05,Thursday,60,3,57,949,1,2,298,48,4,5,5,111,20
2026-02-06,Friday,36,3,33,982,1,4,169,43,3,6,2,90,13
2026-02-07,Saturday,46,5,41,1023,0,4,230,39,5,4,4,83,39
2026-02-08,Sunday,55,5,50,1073,1,3,296,54,6,8,4,182,12
2026-02-09,Monday,52,7,45,1118,1,3,306,42,3,6,3,154,13
2026-02-10,Tuesday,59,7,52,1170,1,2,388,63,9,10,5,142,44
2026-02-11,Wednesday,87,4,83,1253,2,3,391,74,6,11,5,221,44
2026-02-12,Thursday,52,4,48,1301,2,4,406,78,11,12,8,226,46
2026-02-13,Friday,77,7,70,1371,1,4,371,50,6,8,3,125,41
2026-02-14,Saturday,84,11,73,1444,0,3,469,60,5,6,6,205,44
2026-02-15,Sunday,59,3,56,1500,2,3,401,62,6,11,4,197,50
2026-02-16,Monday,87,12,75,1575,1,4,391,59,6,11,4,177,45
2026-02-17,Tuesday,33,1,32,1607,1,2,289,54,6,6,4,272,38
2026-02-18,Wednesday,41,2,39,1646,1,3,305,53,4,7,3,191,41
2026-02-19,Thursday,69,3,66,1712,1,3,284,96,13,10,6,274,55
2026-02-20,Friday,51,5,46,1758,1,3,426,92,7,11,9,298,44
2026-02-21,Saturday,51,3,48,1806,0,3,358,68,7,6,4,182,35
2026-02-22,Sunday,92,9,83,1889,2,3,505,98,10,11,6,219,55
2026-02-23,Monday,79,6,73,1962,1,3,387,64,5,7,3,193,36
2026-02-24,Tuesday,65,9,56,2018,1,3,693,112,15,14,6,296,76
2026-02-25,Wednesday,50,5,45,2063,1,3,386,81,8,12,5,188,58
2026-02-26,Thursday,77,7,70,2133,1,2,463,72,6,14,5,343,37
2026-02-27,Friday,36,4,32,2165,1,3,503,87,12,15,10,200,69
2026-02-28,Saturday,68,9,59,2224,0,3,423,77,7,13,7,294,46
2026-03-01,Sunday,65,5,60,2284,1,3,514,100,10,17,8,235,84
2026-03-02,Monday,78,8,70,2354,1,4,648,94,8,16,8,313,86
2026-03-03,Tuesday,20,1,19,2373,1,3,709,73,8,12,8,271,82
2026-03-04,Wednesday,54,3,51,2424,1,3,712,119,15,18,8,277,37
2026-03-05,Thursday,38,4,34,2458,1,3,834,85,10,12,7,201,88
2026-03-06,Friday,62,8,54,2512,1,2,666,121,13,21,13,433,59
2026-03-07,Saturday,75,11,64,2576,0,2,860,144,16,22,11,220,51
2026-03-08,Sunday,37,5,32,2608,1,3,775,113,10,16,6,254,65
2026-03-09,Monday,23,3,20,2628,1,3,726,79,9,9,9,249,58
2026-03-10,Tuesday,116,14,102,2730,1,4,521,97,8,14,8,236,90
2026-03-11,Wednesday,61,6,55,2785,1,3,729,96,8,17,11,326,50
2026-03-12,Thursday,141,17,124,2909,1,2,565,107,13,10,6,465,44
2026-03-13,Friday,98,7,91,3000,2,3,883,167,23,23,16,301,56
2026-03-14,Saturday,23,3,20,3020,0,3,682,144,14,23,11,408,69
2026-03-15,Sunday,98,14,84,3104,1,2,1004,138,19,24,11,255,56
2026-03-16,Monday,107,6,101,3205,1,4,817,112,11,11,12,294,87
2026-03-17,Tuesday,74,7,67,3272,1,4,625,99,8,18,11,457,91
2026-03-18,Wednesday,37,3,34,3306,1,3,526,115,15,12,10,345,71
2026-03-19,Thursday,71,6,65,3371,1,3,887,149,18,28,15,342,36
2026-03-20,Friday,237,25,212,3583,1,3,613,115,15,17,11,442,62
2026-03-21,Saturday,26,3,23,3606,0,3,966,147,12,28,8,631,84
2026-03-22,Sunday,63,7,56,3662,1,3,1056,203,19,30,13,654,140
2026-03-23,Monday,229,32,197,3859,1,3,1285,119,15,15,13,683,147
2026-03-24,Tuesday,84,6,78,3937,1,2,1060,145,12,15,14,448,124
2026-03-25,Wednesday,58,4,54,3991,1,3,853,194,27,31,12,329,144
2026-03-26,Thursday,75,11,64,4055,1,3,934,180,22,33,21,635,91
2026-03-27,Friday,61,7,54,4109,1,2,907,158,15,19,8,336,162
2026-03-28,Saturday,20,1,19,4128,0,3,693,175,24,34,14,583,61
2026-03-29,Sunday,33,2,31,4159,1,3,1129,188,18,22,12,410,138
2026-03-30,Monday,49,6,43,4202,1,4,776,176,23,29,10,678,70
2026-03-31,Tuesday,56,5,51,4253,1,3,715,239,23,26,26,746,152
